"Series Description","30-Day AA Financial Commercial Paper Interest Rate"
"Unit:","Percent"
"Multiplier:","1"
"Currency:","NA"
"Unique Identifier: ","H15/H15/RIFSPPFAAD30_N.B"
"Time Period","RIFSPPFAAD30_N.B"
1997-01-02,5.35
1997-01-03,5.34
1997-01-06,5.33
1997-01-07,5.31
1997-01-08,5.28
1997-01-09,5.28
1997-01-10,5.31
1997-01-13,5.30
1997-01-14,5.32
1997-01-15,5.30
1997-01-16,5.30
1997-01-17,5.27
1997-01-20,ND
1997-01-21,5.27
1997-01-22,5.28
1997-01-23,5.29
1997-01-24,5.28
1997-01-27,5.30
1997-01-28,5.30
1997-01-29,5.31
1997-01-30,5.31
1997-01-31,5.30
1997-02-03,5.30
1997-02-04,5.29
1997-02-05,5.29
1997-02-06,5.30
1997-02-07,5.26
1997-02-10,5.27
1997-02-11,5.26
1997-02-12,5.26
1997-02-13,5.27
1997-02-14,5.24
1997-02-17,ND
1997-02-18,5.25
1997-02-19,5.25
1997-02-20,5.23
1997-02-21,5.24
1997-02-24,5.24
1997-02-25,5.25
1997-02-26,5.26
1997-02-27,5.26
1997-02-28,5.28
1997-03-03,5.30
1997-03-04,5.31
1997-03-05,5.31
1997-03-06,5.29
1997-03-07,5.27
1997-03-10,5.29
1997-03-11,5.29
1997-03-12,5.30
1997-03-13,5.29
1997-03-14,5.33
1997-03-17,5.33
1997-03-18,5.33
1997-03-19,5.33
1997-03-20,5.35
1997-03-21,5.44
1997-03-24,5.50
1997-03-25,5.52
1997-03-26,5.53
1997-03-27,5.52
1997-03-28,5.54
1997-03-31,5.59
1997-04-01,5.54
1997-04-02,5.54
1997-04-03,5.55
1997-04-04,5.53
1997-04-07,5.52
1997-04-08,5.52
1997-04-09,5.51
1997-04-10,5.49
1997-04-11,5.50
1997-04-14,5.51
1997-04-15,5.52
1997-04-16,5.50
1997-04-17,5.49
1997-04-18,5.49
1997-04-21,5.49
1997-04-22,5.49
1997-04-23,5.48
1997-04-24,5.48
1997-04-25,5.49
1997-04-28,5.50
1997-04-29,5.53
1997-04-30,5.51
1997-05-01,5.50
1997-05-02,5.50
1997-05-05,5.52
1997-05-06,5.52
1997-05-07,5.52
1997-05-08,5.54
1997-05-09,5.53
1997-05-12,5.53
1997-05-13,5.52
1997-05-14,5.53
1997-05-15,5.54
1997-05-16,5.53
1997-05-19,5.55
1997-05-20,5.63
1997-05-21,5.52
1997-05-22,5.51
1997-05-23,5.49
1997-05-26,ND
1997-05-27,5.50
1997-05-28,5.51
1997-05-29,5.51
1997-05-30,5.53
1997-06-02,5.53
1997-06-03,5.52
1997-06-04,5.53
1997-06-05,5.50
1997-06-06,5.50
1997-06-09,5.50
1997-06-10,5.51
1997-06-11,5.51
1997-06-12,5.50
1997-06-13,5.53
1997-06-16,5.53
1997-06-17,5.52
1997-06-18,5.52
1997-06-19,5.51
1997-06-20,5.52
1997-06-23,5.54
1997-06-24,5.54
1997-06-25,5.54
1997-06-26,5.54
1997-06-27,5.55
1997-06-30,5.55
1997-07-01,5.54
1997-07-02,5.55
1997-07-03,5.50
1997-07-04,ND
1997-07-07,5.50
1997-07-08,5.50
1997-07-09,5.50
1997-07-10,5.49
1997-07-11,5.49
1997-07-14,5.48
1997-07-15,5.49
1997-07-16,5.50
1997-07-17,5.49
1997-07-18,5.50
1997-07-21,5.50
1997-07-22,5.49
1997-07-23,5.47
1997-07-24,5.48
1997-07-25,5.48
1997-07-28,5.49
1997-07-29,5.49
1997-07-30,5.49
1997-07-31,5.51
1997-08-01,5.50
1997-08-04,5.51
1997-08-05,5.50
1997-08-06,5.49
1997-08-07,5.50
1997-08-08,5.49
1997-08-11,5.50
1997-08-12,5.51
1997-08-13,5.51
1997-08-14,5.51
1997-08-15,5.50
1997-08-18,5.50
1997-08-19,5.49
1997-08-20,5.48
1997-08-21,5.48
1997-08-22,5.48
1997-08-25,5.46
1997-08-26,5.50
1997-08-27,5.51
1997-08-28,5.51
1997-08-29,5.51
1997-09-01,ND
1997-09-02,5.52
1997-09-03,5.51
1997-09-04,5.50
1997-09-05,5.50
1997-09-08,5.49
1997-09-09,5.50
1997-09-10,5.51
1997-09-11,5.51
1997-09-12,5.49
1997-09-15,5.51
1997-09-16,5.50
1997-09-17,5.50
1997-09-18,5.49
1997-09-19,5.50
1997-09-22,5.51
1997-09-23,5.50
1997-09-24,5.51
1997-09-25,5.51
1997-09-26,5.51
1997-09-29,5.53
1997-09-30,5.53
1997-10-01,5.51
1997-10-02,5.51
1997-10-03,5.50
1997-10-06,5.48
1997-10-07,5.49
1997-10-08,5.48
1997-10-09,5.50
1997-10-10,5.49
1997-10-13,ND
1997-10-14,5.49
1997-10-15,5.50
1997-10-16,5.50
1997-10-17,5.50
1997-10-20,5.50
1997-10-21,5.50
1997-10-22,5.51
1997-10-23,5.51
1997-10-24,5.45
1997-10-27,5.51
1997-10-28,5.52
1997-10-29,5.51
1997-10-30,5.53
1997-10-31,5.53
1997-11-03,5.54
1997-11-04,5.55
1997-11-05,5.53
1997-11-06,5.53
1997-11-07,5.54
1997-11-10,5.54
1997-11-11,ND
1997-11-12,5.55
1997-11-13,5.56
1997-11-14,5.55
1997-11-17,5.55
1997-11-18,5.53
1997-11-19,5.56
1997-11-20,5.55
1997-11-21,5.56
1997-11-24,5.53
1997-11-25,5.53
1997-11-26,5.56
1997-11-27,ND
1997-11-28,5.56
1997-12-01,5.58
1997-12-02,5.77
1997-12-03,5.78
1997-12-04,5.79
1997-12-05,5.79
1997-12-08,5.77
1997-12-09,5.79
1997-12-10,5.78
1997-12-11,5.80
1997-12-12,5.82
1997-12-15,5.80
1997-12-16,5.82
1997-12-17,5.82
1997-12-18,5.83
1997-12-19,5.86
1997-12-22,5.90
1997-12-23,5.93
